text,mitre_technique_ID,mitre_technique_name
"many obfuscated strings that are being covered by a random string, “edx765“, to evade detection.",T1027,Obfuscated Files or Information
"obfuscated information,",T1027,Obfuscated Files or Information
passes the obfuscated string to a function that strips the arbitrary string and delivers the original string,T1140,Deobfuscate/Decode Files or Information
passes the obfuscated string to a function that strips the arbitrary string and delivers the original string.,T1027,Obfuscated Files or Information
"Making a ‘POST’ request,",T1071.001,Application Layer Protocol: Web Protocols
multiple POST requests to the “c2/sock” address,T1071.001,Application Layer Protocol: Web Protocols
accessed C2 while visiting port 80,T1071.001,Application Layer Protocol: Web Protocols
they are instructed to click “Confirm” to view a message from “Express.”,T1204.002,User Execution: Malicious File
"The user is also asked to permit push notifications in the browser,",T1204.002,User Execution: Malicious File
"Once decrypted, the configuration file reveals several parameters,",T1140,Deobfuscate/Decode Files or Information
Decryption exclusion list,T1140,Deobfuscate/Decode Files or Information
decrypted using the RC4 algorithm with a hard-coded key in the resource.,T1140,Deobfuscate/Decode Files or Information
send the decryption program,T1140,Deobfuscate/Decode Files or Information
and decrypted,T1140,Deobfuscate/Decode Files or Information
decrypted using the RC4 algorithm with a hardcoded key in the resource.,T1140,Deobfuscate/Decode Files or Information
the hardcoded key to decrypt the configuration file.,T1140,Deobfuscate/Decode Files or Information
to decrypt the configuration file.,T1140,Deobfuscate/Decode Files or Information
Get configuration file and decrypt it,T1140,Deobfuscate/Decode Files or Information
Decryptor download,T1140,Deobfuscate/Decode Files or Information
The decryptor is delivered in a zip archive containing the decryptor executable,T1140,Deobfuscate/Decode Files or Information
the decryptor to clean up their environment.,T1140,Deobfuscate/Decode Files or Information
"At the end of the decryption process, the program indicates the number of decrypted files",T1140,Deobfuscate/Decode Files or Information
Decryptor has finished the decryption process,T1140,Deobfuscate/Decode Files or Information
Decryptor execution,T1140,Deobfuscate/Decode Files or Information
"The decryptor program appears unique and is linked to one victim specifically. In our example, it only decrypts the files",T1140,Deobfuscate/Decode Files or Information
"one to get information about the machine, such as the operating system version,",T1082,System Information Discovery
one to get processes,T1057,Process Discovery
"reflective DLL loading, to inject a DLL from memory.",T1055,Process Injection
Use Windows API functions to inject DLL,T1055,Process Injection
a regular Bitmap (open matrix image format used by Windows) that can be used by malware to execute code or as a payload dropper,T1027,Obfuscated Files or Information
The image’s pixels are an actual binary representation of the payload.,T1027,Obfuscated Files or Information
This process can be summarized as Exe -> Resources -> BMP with embedded data in pixels fetched,T1027,Obfuscated Files or Information
The unpacked malware,T1027,Obfuscated Files or Information
the configuration file encrypted.,T1027,Obfuscated Files or Information
PowerShell Script uses Base64 and hexadecimal encoding and XOR-encryption,T1027,Obfuscated Files or Information
". The malware will try first to write in the registry-hive “HKEY_LOCAL_MACHINE” but if it cannot create it, it will use the registry-hive “HKEY_CURRENT_USER”:",T1112,Modify Registry
Write in the registry,T1112,Modify Registry
After the writing in the registry has been completed,T1112,Modify Registry
write in the registry information,T1112,Modify Registry
Create its own registry key in \SOFTWARE\<uniquename>,T1112,Modify Registry
using the functions “SHGetFolderPathlW” and “CreateFileW”,T1106,Native API
with the function “WriteFile”.,T1106,Native API
Use Windows API functions,T1106,Native API
The batch script will delete the malware sample with its path using the command “del” and finally delete the bat file with the command “del %0%”.,T1070.004,Indicator Removal: File Deletion
the malware uses the “del” command,T1070.004,Indicator Removal: File Deletion
the malware tries to remove itself from the machine to avoid being detected and analyzed by security researchers,T1070.004,Indicator Removal: File Deletion
deletes the ransom note,T1070.004,Indicator Removal: File Deletion
The batch script,T1059.003,Command and Scripting Interpreter: Windows Command Shell
The download is done directly from the NetWalker Tor site,T1105,Ingress Tool Transfer
they will be able to download the decryptor,T1105,Ingress Tool Transfer
Place a value on RunOnce key,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
"performing password spray,",T1110,Brute Force
Activity from a password-spray associated IP address.,T1110,Brute Force
an IP address that had been identified as participating in password spray,T1110,Brute Force
credential stuffing attacks,T1110,Brute Force
is distributed through exposed Remote Desktop Protocol (RDP) setups,T1021.001,Remote Services: Remote Desktop Protocol
a heavy emphasis on Remote Desktop Protocols.,T1021.001,Remote Services: Remote Desktop Protocol
by brute-forcing them,T1110,Brute Force
"using other known vulnerabilities for initial access, i.e. vulnerabilities in Citrix gateway devices",T1190,Exploit Public-Facing Application
"uses other tools to gather credentials that include Mimikatz, LaZagne, and NirSoft’s NetPass.",T1003.001,OS Credential Dumping: LSASS Memory
It uses bat files,T1059.003,Command and Scripting Interpreter: Windows Command Shell
A batch file to stop services,T1059.003,Command and Scripting Interpreter: Windows Command Shell
the stolen credentials are used to reach high-value machines like servers,T1078,Valid Accounts
WMIC /node,T1047,Windows Management Instrumentation
reg add HKLM\software\Microsoft\Windows\CurrentVersion\Policies\System,T1112,Modify Registry
makes use of API GetTickCount / QueryPerformanceCounter,T1106,Native API
the help of ShellExecute API,T1106,Native API
delete itself from the target systems after infection,T1027,Obfuscated Files or Information
It also drops and installs,T1105,Ingress Tool Transfer
sets the following registry entry to open the downloaded PDF file every time the computer boots,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run\iXqrVo,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
adding the HIDDEN file attribute,T1564.001,Hide Artifacts: Hidden Files and Directories
adds the HIDDEN file attribute to the file:,T1564.001,Hide Artifacts: Hidden Files and Directories
taking command line arguments,T1059.003,Command and Scripting Interpreter: Windows Command Shell
command line argument,T1059.003,Command and Scripting Interpreter: Windows Command Shell
to download and execute a remote “note.hta”:,T1105,Ingress Tool Transfer
to download another remote file,T1105,Ingress Tool Transfer
the download and execution,T1105,Ingress Tool Transfer
uses PowerShell to pull and run,T1105,Ingress Tool Transfer
downloading and executing,T1105,Ingress Tool Transfer
downloads and runs,T1105,Ingress Tool Transfer
downloads and executes,T1105,Ingress Tool Transfer
downloads and executes,T1105,Ingress Tool Transfer
downloads and executes,T1105,Ingress Tool Transfer
downloads and executes,T1105,Ingress Tool Transfer
downloads and executes,T1105,Ingress Tool Transfer
the download of wed.hta,T1105,Ingress Tool Transfer
"disables AMSI by hijacking the COM server, changing it from ""%windir%\system32\amsi.dll"" to ""C:\IDontExist.dll"".",T1562.001,Impair Defenses: Disable or Modify Tools
performs the following actions to alter Windows Defender settings,T1562.001,Impair Defenses: Disable or Modify Tools
Adds the following exclusions to Windows DefenderExtensions,T1562.001,Impair Defenses: Disable or Modify Tools
Allows known Windows Defender Threat IDs to execute,T1562.001,Impair Defenses: Disable or Modify Tools
Disables Windows Defender Attack Surface Reduction (ASR) rules,T1562.001,Impair Defenses: Disable or Modify Tools
"Disables the following Windows Defender features:Intrusion Prevention System
IO AV Protection (does not scan downloaded files and attachments)
Realtime monitoring
Script scanning
Controlled folder access protection
PUA protection
Scheduled scan",T1562.001,Impair Defenses: Disable or Modify Tools
Sets Network Protection to audit mode in Windows Defender,T1562.001,Impair Defenses: Disable or Modify Tools
Disables MAPS (Microsoft Active Protection Service) reporting,T1562.001,Impair Defenses: Disable or Modify Tools
Allows severe/high/moderate/low-level threats to execute,T1562.001,Impair Defenses: Disable or Modify Tools
"Disables the ""administrator in Admin Approval Mode"" user type (disables UAC prompts)",T1562.001,Impair Defenses: Disable or Modify Tools
Stops the WinDefend service (Windows Defender),T1562.001,Impair Defenses: Disable or Modify Tools
Disables the startup of the WinDefend service,T1562.001,Impair Defenses: Disable or Modify Tools
